length,num_words,num_urls,has_ip_url,num_exclamations,num_dollars,num_percents,special_char_ratio,upper_ratio,digit_ratio,unique_word_ratio,suspicious_words,label
122,21,0,0,0,0,0,0.024390243902439025,0.0,0.0975609756097561,0.9545454545454546,0,1
405,90,0,0,2,0,0,0.07635467980295567,0.0,0.007389162561576354,0.6153846153846154,0,1
1432,323,0,0,0,0,0,0.051639916259595256,0.0,0.00837404047452896,0.4783950617283951,0,0
279,63,0,0,0,0,0,0.09285714285714286,0.0,0.07857142857142857,0.53125,0,0
1144,260,0,0,4,0,0,0.06899563318777292,0.0,0.017467248908296942,0.42911877394636017,3,1
280,51,0,0,0,0,1,0.03558718861209965,0.0,0.0071174377224199285,0.7884615384615384,0,1
2272,336,0,0,0,0,0,0.024197096348438186,0.0,0.008358996920369555,0.8456973293768546,0,1
2450,524,0,0,0,1,1,0.025703794369645042,0.0,0.00448796409628723,0.44952380952380955,4,1
118,10,0,0,0,0,0,0.11764705882352941,0.0,0.0,0.9090909090909091,0,0
1172,209,0,0,3,1,0,0.06820119352088662,0.0,0.004262574595055414,0.6285714285714286,0,1
33,5,0,0,0,0,0,0.058823529411764705,0.0,0.0,0.8333333333333334,0,0
775,118,0,0,1,0,0,0.05283505154639175,0.0,0.005154639175257732,0.773109243697479,0,0
899,151,0,0,1,0,0,0.05333333333333334,0.0,0.0,0.7105263157894737,2,1
39,8,0,0,0,0,0,0.0,0.0,0.0,0.8888888888888888,1,1
606,129,0,0,1,0,0,0.042833607907743,0.0,0.013179571663920923,0.7538461538461538,0,1
786,124,2,1,7,0,1,0.060991105463786534,0.0,0.03303684879288437,0.712,0,1
598,100,0,0,0,0,0,0.08514190317195326,0.0,0.0,0.7326732673267327,0,0
4459,791,0,0,0,0,0,0.03340807174887892,0.0,0.013004484304932735,0.4595959595959596,1,0
