length,num_words,num_urls,suspicious_words,special_char_ratio,label
373,79,0,0,0.05080213903743316,0
2225,642,0,0,0.020664869721473494,1
3601,605,0,0,0.02526374236535258,0
158,6,2,0,0.23270440251572327,0
1237,202,1,0,0.11954765751211632,0
319,49,0,0,0.0125,1
678,136,0,0,0.053019145802650956,0
929,68,3,0,0.3010752688172043,0
977,171,0,0,0.016359918200409,0
900,235,0,0,0.13873473917869034,1
2833,461,3,0,0.10797459421312633,1
2734,433,3,0,0.11663619744058501,0
1166,230,0,1,0.022279348757497857,0
753,85,2,0,0.21618037135278514,0
740,203,0,0,0.16059379217273953,1
742,88,2,0,0.22072678331090176,0
591,127,0,0,0.04391891891891892,0
1163,202,1,0,0.0781786941580756,0
294,77,0,0,0.06779661016949153,0
1961,431,0,0,0.0963302752293578,0
1633,259,2,0,0.06670746634026928,0
1378,336,0,0,0.0826686004350979,1
146,27,0,0,0.006802721088435374,0
248,55,0,0,0.04417670682730924,1
1219,168,5,0,0.20245901639344263,0
295,76,0,0,0.08108108108108109,1
1972,370,0,0,0.048656867714140906,0
699,140,0,0,0.025714285714285714,0
1048,138,3,1,0.08293612964728313,0
5570,1356,0,2,0.08992999461497038,1
217,48,0,0,0.045871559633027525,1
612,98,0,0,0.1468189233278956,0
176,26,0,0,0.011299435028248588,0
1004,266,0,0,0.09950248756218906,0
1063,152,1,1,0.08740601503759399,1
3478,727,0,0,0.0735843633227939,0
2967,590,0,0,0.07681940700808626,0
5,1,0,0,0.0,0
2271,456,0,0,0.043133802816901406,1
2998,601,0,3,0.05235078359453151,1
4020,760,0,1,0.028351156428749066,1
1806,279,1,0,0.10016602102933038,0
2934,551,0,0,0.043270868824531517,1
450,70,1,1,0.050997782705099776,1
709,118,1,0,0.14647887323943662,0
10735,2405,0,2,0.0969634873323398,0
906,181,0,1,0.04630650496141125,0
328,50,2,0,0.08814589665653495,0
283,63,0,0,0.09154929577464789,0
